463,1404833.970,2199515.168,1070.255,PN4
464,1404822.533,2199513.215,1070.682,PN5
465,1404826.185,2199508.413,1070.498,CM1
466,1404810.810,2199510.769,1071.218,PN6
467,1404773.107,2199711.524,1076.894,GL3 PC-30CG-N
468,1404772.413,2199715.371,1077.563,BAD
469,1404770.677,2199715.251,1077.657,BAD
470,1404771.116,2199721.284,1077.576,35-MB
471,1404771.236,2199713.394,1077.414,BAD
472,1404773.971,2199709.780,1076.858,BAD
473,1404777.135,2199709.915,1076.734,BAD
474,1404777.969,2199914.012,1081.961,GL3-30CG-N
475,1404779.742,2199916.048,1081.969,W5
476,1404780.182,2199916.139,1081.957,G3
477,1404781.191,2199916.232,1081.913,PN7
478,1404773.221,2199916.416,1082.449,CM2
479,1404766.380,2199917.804,1082.794,CM3
480,1404766.377,2199918.003,1082.800,SW7
481,1404764.672,2199904.217,1082.549,SW7
482,1404776.909,2199909.555,1082.422,SW8
483,1404775.442,2199909.696,1082.432,SW8
484,1404774.536,2199902.927,1082.384,SW8
485,1404775.568,2199899.275,1082.257,SW8
486,1404776.224,2199899.372,1081.750,GL3 PC
487,1404774.869,2199893.247,1081.735,GL3-N
488,1404776.050,2199893.902,1081.690,W5
489,1404778.279,2199893.949,1081.605,G3
490,1404771.284,2199884.861,1081.708,CM2
491,1404763.654,2199873.964,1081.864,GL3
492,1404756.339,2199868.648,1082.193,GL3-N
493,1404740.723,2199865.606,1083.113,BAD
494,1404753.264,2199867.488,1082.128,GL3 PT
495,1404751.314,2199869.515,1082.984,CBR
496,1404750.100,2199872.313,1082.873,SN-ORCHARD.ST
497,1404758.890,2199895.054,1082.166,SW7
498,1404761.279,2199886.478,1081.982,CM3
499,1404759.556,2199867.646,1082.100,CM3
500,1404872.531,2199527.845,1069.969,CK-3
501,1404872.534,2199527.842,1069.976,CK-3
502,1404972.621,2199980.929,1141.949,BHGT
503,1405043.813,2199912.553,1091.637,BHGT
504,1405141.512,2199870.043,1115.843,BHGT
505,1404821.766,2200143.907,1087.826,STP1
506,1404833.065,2200138.277,1087.391,PN9
507,1404823.462,2200143.572,1087.738,PN10
508,1404847.454,2200138.116,1086.803,PN11
509,1404869.758,2200133.372,1085.743,PN13
510,1404849.836,2200104.115,1085.210,PN12-DIR
511,1404858.458,2200135.966,1086.284,STP1 PN12
512,1404875.174,2200107.759,1084.491,PN14
513,1404759.712,2199900.412,1082.632,SN-MILE2.9
514,1404735.484,2199867.273,1084.178,CM4
515,1404750.825,2199888.825,1082.868,CM4
516,1404759.079,2199920.171,1082.587,CM4
517,1404762.598,2199933.060,1082.496,CM4
518,1404767.938,2199931.841,1082.907,EC9 PC
519,1404761.209,2199933.810,1082.380,EC9
520,1404756.050,2199938.082,1082.227,EC9
521,1404766.205,2199918.053,1082.758,EC10 PC
522,1404753.592,2199923.159,1082.443,EC10
523,1404745.948,2199932.859,1082.420,EC10
524,1404762.717,2199947.370,1081.907,CO
525,1404768.001,2199931.867,1082.890,SW9 PC
526,1404768.156,2199932.156,1082.986,CM5
527,1404777.062,2199933.353,1082.558,CM6
528,1404778.280,2199938.018,1082.884,CBX
529,1404780.239,2199933.549,1082.225,GL4 PC-30CG-N
530,1404780.563,2199933.528,1082.200,W6
531,1404782.595,2199933.377,1082.206,G4
532,1404778.925,2199940.140,1082.878,SW10 PC
533,1404772.979,2199946.717,1083.234,SSMH-C2
534,1404787.562,2199973.589,1083.311,G4
535,1404786.069,2199973.629,1083.345,W6
536,1404785.553,2199973.733,1083.330,GL4
537,1404782.046,2199976.514,1084.075,CM2
538,1404783.706,2199975.120,1083.979,SW10
539,1404773.676,2199975.722,1084.054,SW9
540,1404774.048,2199976.820,1084.084,JB-D3
541,1404771.610,2199962.737,1083.792,CM5
542,1404772.754,2199978.832,1083.860,CM4
543,1404760.199,2199993.910,1076.996,RCP-18 FES
544,1404777.079,2200005.782,1084.537,CM4
545,1404778.456,2200005.761,1084.911,SW9
546,1404786.043,2200003.087,1084.749,CM6-2F
547,1404788.134,2200003.092,1084.716,SW10
548,1404792.602,2200016.820,1084.468,GL4
549,1404793.110,2200016.809,1084.501,W6
550,1404794.553,2200016.691,1084.418,G4
551,1404795.613,2200016.597,1084.395,PN
552,1404797.000,2200038.724,1085.031,W6 W7
553,1404784.305,2200040.602,1085.396,W7
554,1404783.076,2200040.576,1088.760,FH-TOP
555,1404794.908,2200039.153,1085.652,WV
556,1404796.188,2200048.693,1085.828,SW10 PT
557,1404797.817,2200048.520,1085.817,SW10
558,1404799.356,2200053.001,1085.398,GL4-N
559,1404803.184,2200071.927,1085.919,GL4-N
560,1404803.794,2200063.760,1085.689,G4
561,1404802.099,2200063.878,1085.702,W6
562,1404798.559,2200070.349,1086.212,CM6
563,1404791.139,2200071.958,1086.625,CM5
